#COL    LINE    RMAG     FLUX      SKY   N  RMOM ELLIP    PA     PEAK GFWHM
 284.43  246.13   17.54    966.0  7313.00   3  1.09 0.559 -30.9   599.81  1.00
 281.79  249.84   12.51  98724.0  7313.00  12  2.07 0.092  10.1 12846.49  3.44
 281.89  249.88   12.20 132413.0  7313.00  27  2.67 0.068 -37.9 12831.94  3.30
 281.88  249.91   12.11 143260.0  7313.00  48  2.98 0.025 -28.1 12837.94  3.27
 281.84  249.88   12.06 149744.0  7313.00  77  3.27 0.063  55.0 12890.87  3.25
 281.82  249.86   12.06 149989.0  7313.00 113  3.29 0.020  63.6 12921.47  3.24
 281.86  249.82   12.06 150260.0  7313.00 154  3.32 0.087 -86.7 12923.63  3.24
 281.88  249.82   12.04 152071.0  7313.00 200  3.60 0.254 -82.3 12906.52  3.25
 281.88  249.82   12.03 153778.0  7313.00 252  3.88 0.301 -62.7 12904.91  3.25
 281.88  249.84   12.01 157628.0  7313.00 311  4.59 0.391 -47.0 12889.59  3.25
