#COL    LINE    RMAG     FLUX      SKY   N  RMOM ELLIP    PA     PEAK GFWHM
 496.56  278.12   13.66  34353.0  7269.00   3  1.15 0.500  46.0 13542.58  2.66
 496.52  278.38   12.52  98377.0  7287.00  12  2.08 0.045 -22.4 13241.23  3.15
 496.68  278.25   12.22 129406.0  7269.00  29  2.67 0.050 -16.9 13403.98  3.07
 496.62  278.30   12.15 138590.0  7269.00  51  2.99 0.098 -24.6 13493.96  3.04
 496.61  278.32   12.14 139492.0  7269.00  80  3.04 0.138 -21.2 13504.41  3.04
 496.57  278.33   12.10 144222.0  7235.00 115  3.31 0.179 -42.4 13511.09  3.05
 496.56  278.34   12.07 148975.0  7235.00 155  3.80 0.146 -51.7 13501.47  3.05
 496.57  278.34   12.03 153793.0  7235.00 203  4.36 0.090  -7.7 13517.92  3.05
 496.59  278.31   12.04 152338.0  7243.00 256  4.29 0.087  -0.4 13513.84  3.05
 496.59  278.28   12.10 145167.0  7269.00 316  3.64 0.246  -0.2 13480.50  3.04
