#COL    LINE    RMAG     FLUX      SKY   N  RMOM ELLIP    PA     PEAK GFWHM
 330.41  303.00   13.87  28330.0  7333.00   2  0.84 1.000   0.0 15401.14  2.77
 330.44  304.26   11.86 179970.0  7333.00  13  2.33 0.133  46.7 15144.81  8.03
 330.43  304.35   11.23 322995.0  7333.00  29  3.31 0.066 -22.9 15507.76  6.29
 330.45  304.39   10.97 410100.0  7333.00  52  3.98 0.020 -43.5 15801.58  5.66
 330.42  304.42   10.88 444074.0  7320.00  79  4.35 0.039 -44.1 15929.75  5.47
 330.44  304.44   10.84 461030.0  7320.00 114  4.61 0.034 -38.4 15996.38  5.39
 330.45  304.44   10.82 467915.0  7333.00 153  4.78 0.039 -44.4 16000.55  5.36
 330.47  304.45   10.81 475541.0  7320.00 208  4.97 0.081 -57.8 16030.65  5.35
 330.47  304.45   10.80 476804.0  7320.00 256  5.02 0.145 -75.5 16031.02  5.35
 330.47  304.44   10.80 478796.0  7320.00 316  5.11 0.148 -71.1 16030.09  5.35
