#COL    LINE    RMAG     FLUX      SKY   N  RMOM ELLIP    PA     PEAK GFWHM
 207.64  395.00   14.23  20270.0  7203.00   2  0.85 1.000   0.0 11060.00  2.77
 207.59  395.55   12.68  84507.0  7203.00  12  2.04 0.034   1.5 12589.29  2.82
 207.68  395.58   12.40 109962.0  7196.00  29  2.64 0.016 -25.7 12527.07  2.84
 207.68  395.58   12.35 115103.0  7196.00  51  2.85 0.070 -47.9 12529.90  2.84
 207.62  395.56   12.33 116571.0  7196.00  79  2.96 0.196 -41.1 12580.49  2.83
 207.59  395.55   12.30 120625.0  7196.00 115  3.37 0.307 -52.3 12573.35  2.83
 207.56  395.54   12.31 119634.0  7196.00 153  3.22 0.257 -45.5 12543.06  2.83
 207.55  395.55   12.33 117073.0  7196.00 208  2.68 0.245  32.9 12528.43  2.84
 207.53  395.55   12.32 117818.0  7196.00 256  2.89 0.387  51.7 12502.08  2.84
 207.54  395.55   12.36 113542.0  7203.00 316  1.25 2.970 -78.3 12520.97  2.83
