#COL    LINE    RMAG     FLUX      SKY   N  RMOM ELLIP    PA     PEAK GFWHM
 211.43  241.99   13.93  26714.0  7332.00   2  0.84 1.000   0.1 12952.40  5.13
 211.35  242.92   12.06 149573.0  7332.00  13  2.28 0.124   6.3 14686.95  4.91
 211.23  242.96   11.62 225521.0  7345.00  28  3.03 0.063   9.8 14761.70  4.46
 211.31  242.88   11.47 258224.0  7352.00  51  3.48 0.025   4.5 14919.85  4.25
 211.34  242.87   11.43 268427.0  7352.00  78  3.71 0.030 -10.9 14988.31  4.20
 211.30  242.90   11.41 273174.0  7352.00 111  3.85 0.063 -35.1 14937.06  4.20
 211.29  242.90   11.40 274767.0  7352.00 154  3.92 0.157 -37.2 14918.89  4.20
 211.27  242.92   11.41 273791.0  7352.00 200  3.88 0.286 -43.4 14903.15  4.21
 211.25  242.94   11.38 280492.0  7332.00 253  4.23 0.426 -37.3 14907.20  4.22
 211.29  242.92   11.41 273077.0  7345.00 311  3.63 0.580 -26.9 14918.69  4.21
