#COL    LINE    RMAG     FLUX      SKY   N  RMOM ELLIP    PA     PEAK GFWHM
 128.00   97.54   14.45  16628.0  7322.00   2  0.83 1.000  90.0 10494.29  1.73
 127.84   97.50   13.10  57809.0  7322.00  14  2.08 0.065 -64.7  9378.73  2.49
 127.87   97.55   12.96  65631.0  7322.00  28  2.43 0.047 -27.8  9402.92  2.49
 127.88   97.53   12.94  66834.0  7322.00  50  2.52 0.163 -17.2  9387.85  2.49
 127.90   97.52   12.93  67360.0  7322.00  80  2.61 0.653 -40.2  9359.61  2.50
 127.91   97.53   13.00  63201.0  7348.00 112  1.88 1.391 -33.3  9336.80  2.49
 127.90   97.52   13.07  59141.0  7348.00 154 INDEF INDEF -18.4  9332.30  2.49
 127.91   97.52   13.11  57273.0  7348.00 198 INDEF INDEF -35.8  7551.09  3.93
 127.93   97.51   13.06  59683.0  7348.00 255  0.79 2.710 -13.3  7415.63  4.15
 128.05   97.53   13.04  60740.0  7348.00 313  2.44 0.466 -11.1  7294.71  4.39
